Loading DVS128 (N_EVENTS=10000)...
Loading GenX320 (N_EVENTS=37000)...
Loading GenX320 (N_EVENTS=50000)...

class                          DVS p25   DVS med   DVS p75 |   37k p25   37k med   37k p75 |   50k p25   50k med   50k p75
hand clap                        0.260     0.360     0.508 |     0.110     0.155     0.185 |     0.151     0.212     0.257
right hand wave                  0.146     0.205     0.287 |     0.118     0.161     0.191 |     0.165     0.220     0.270
other gestures                   0.089     0.134     0.203 |     0.071     0.091     0.110 |     0.100     0.126     0.149
left hand wave                   0.146     0.220     0.289 |     0.104     0.147     0.180 |     0.155     0.189     0.238
right arm clockwise              0.098     0.130     0.177 |     0.065     0.077     0.092 |     0.088     0.103     0.123
right arm counter clockwise      0.084     0.132     0.162 |     0.076     0.093     0.103 |     0.100     0.123     0.138
left arm clockwise               0.113     0.144     0.205 |     0.075     0.085     0.101 |     0.101     0.118     0.143
left arm counter clockwise       0.119     0.155     0.215 |     0.069     0.088     0.107 |     0.093     0.126     0.148
arm rolls                        0.138     0.182     0.226 |     0.075     0.087     0.105 |     0.100     0.113     0.143
air drums                        0.142     0.190     0.242 |     0.091     0.114     0.120 |     0.124     0.149     0.163
air guitar                       0.180     0.243     0.324 |     0.095     0.129     0.150 |     0.140     0.171     0.201
