prediction_idx,latency_ms,pred_label,pred_class_name
1,1750.0,1,right hand wave
2,1402.8,8,arm rolls
3,1214.2,8,arm rolls
4,1830.1,3,left hand wave
5,1674.6,3,left hand wave
6,1437.0,5,right arm counter clockwise
7,1661.8,5,right arm counter clockwise
8,1375.1,5,right arm counter clockwise
9,1316.1,4,right arm clockwise
10,1530.2,7,left arm counter clockwise
11,1757.8,6,left arm clockwise
12,1747.9,6,left arm clockwise
13,1530.4,6,left arm clockwise
14,1917.9,10,air guitar
15,2418.1,10,air guitar
16,1735.7,9,air drums
17,1627.3,9,air drums
18,1908.5,0,hand clap
19,1844.5,0,hand clap
20,1917.1,2,other gestures
